req,origin_station,destination_station,start_driving_time,arriving_time,Rev
633,2,30,189,190,335
633,2,31,189,190,335
633,2,36,189,190,335
633,2,40,189,190,335
633,2,54,189,190,335
633,2,61,189,190,335
633,2,70,189,190,335
633,2,76,189,190,335
633,32,30,189,190,335
633,32,31,189,190,335
633,32,36,189,190,335
633,32,40,189,190,335
633,32,54,189,190,335
633,32,61,189,190,335
633,32,70,189,190,335
633,32,76,189,190,335
633,33,30,189,190,335
633,33,31,189,190,335
633,33,40,189,190,335
633,33,54,189,190,335
633,33,70,189,190,335
633,34,30,189,190,335
633,34,31,189,190,335
633,34,40,189,190,335
633,34,54,189,190,335
633,34,70,189,190,335
633,35,30,189,190,335
633,35,31,189,190,335
633,35,40,189,190,335
633,35,54,189,190,335
633,35,70,189,190,335
633,43,30,189,190,335
633,43,54,189,190,335
633,44,30,189,190,335
633,44,31,189,190,335
633,44,40,189,190,335
633,44,54,189,190,335
633,44,70,189,190,335
633,45,30,189,190,335
633,45,31,189,190,335
633,45,36,189,190,335
633,45,40,189,190,335
633,45,54,189,190,335
633,45,70,189,190,335
633,45,76,189,190,335
633,52,30,189,190,335
633,52,31,189,190,335
633,52,36,189,190,335
633,52,40,189,190,335
633,52,54,189,190,335
633,52,61,189,190,335
633,52,70,189,190,335
633,52,76,189,190,335
633,53,54,189,190,335
633,62,30,189,190,335
633,62,31,189,190,335
633,62,36,189,190,335
633,62,40,189,190,335
633,62,54,189,190,335
633,62,61,189,190,335
633,62,70,189,190,335
633,62,76,189,190,335
633,71,30,189,190,335
633,71,31,189,190,335
633,71,40,189,190,335
633,71,54,189,190,335
633,71,70,189,190,335
633,75,30,189,190,335
633,75,31,189,190,335
633,75,36,189,190,335
633,75,40,189,190,335
633,75,54,189,190,335
633,75,61,189,190,335
633,75,70,189,190,335
633,75,76,189,190,335
633,79,30,189,190,335
633,79,31,189,190,335
633,79,40,189,190,335
633,79,54,189,190,335
633,79,61,189,190,335
633,79,70,189,190,335
633,79,76,189,190,335
633,80,30,189,190,335
633,80,31,189,190,335
633,80,36,189,190,335
633,80,40,189,190,335
633,80,54,189,190,335
633,80,61,189,190,335
633,80,70,189,190,335
633,80,76,189,190,335
633,82,30,189,190,335
633,82,31,189,190,335
633,82,36,189,190,335
633,82,40,189,190,335
633,82,54,189,190,335
633,82,70,189,190,335
633,82,76,189,190,335
634,2,30,189,190,335
634,2,31,189,190,335
634,2,36,189,190,335
634,2,40,189,190,335
634,2,54,189,190,335
634,2,61,189,190,335
634,2,70,189,190,335
634,2,76,189,190,335
634,32,30,189,190,335
634,32,31,189,190,335
634,32,36,189,190,335
634,32,40,189,190,335
634,32,54,189,190,335
634,32,61,189,190,335
634,32,70,189,190,335
634,32,76,189,190,335
634,33,30,189,190,335
634,33,31,189,190,335
634,33,40,189,190,335
634,33,54,189,190,335
634,33,70,189,190,335
634,34,30,189,190,335
634,34,31,189,190,335
634,34,40,189,190,335
634,34,54,189,190,335
634,34,70,189,190,335
634,35,30,189,190,335
634,35,31,189,190,335
